"epoch","asterix_stu - rollout/best_final_step_mse_per_epoch","asterix_stu - rollout/best_final_step_mse_per_epoch__MIN","asterix_stu - rollout/best_final_step_mse_per_epoch__MAX","asterix_stu - _step","asterix_stu - _step__MIN","asterix_stu - _step__MAX","asterix_baseline - rollout/best_final_step_mse_per_epoch","asterix_baseline - rollout/best_final_step_mse_per_epoch__MIN","asterix_baseline - rollout/best_final_step_mse_per_epoch__MAX","asterix_baseline - _step","asterix_baseline - _step__MIN","asterix_baseline - _step__MAX"
"5","2.5036556013219987e+26","2.5036556013219987e+26","2.5036556013219987e+26","5","5","5","Infinity","","","5","5","5"
"10","3737124070203041.5","3737124070203041.5","3737124070203041.5","10","10","10","Infinity","","","10","10","10"
"15","320707.6648034646","320707.6648034646","320707.6648034646","15","15","15","Infinity","","","15","15","15"
"20","320707.6648034646","320707.6648034646","320707.6648034646","20","20","20","3.106947103141158e+30","3.106947103141158e+30","3.106947103141158e+30","20","20","20"
"25","320707.6648034646","320707.6648034646","320707.6648034646","25","25","25","3.106947103141158e+30","3.106947103141158e+30","3.106947103141158e+30","25","25","25"
"30","320707.6648034646","320707.6648034646","320707.6648034646","30","30","30","2.5607989304076953e+29","2.5607989304076953e+29","2.5607989304076953e+29","30","30","30"
"35","320707.6648034646","320707.6648034646","320707.6648034646","35","35","35","2.5607989304076953e+29","2.5607989304076953e+29","2.5607989304076953e+29","35","35","35"
"40","320707.6648034646","320707.6648034646","320707.6648034646","40","40","40","1.2529008574006478e+27","1.2529008574006478e+27","1.2529008574006478e+27","40","40","40"
"45","320707.6648034646","320707.6648034646","320707.6648034646","45","45","45","1.2529008574006478e+27","1.2529008574006478e+27","1.2529008574006478e+27","45","45","45"
"50","320707.6648034646","320707.6648034646","320707.6648034646","50","50","50","1.2529008574006478e+27","1.2529008574006478e+27","1.2529008574006478e+27","50","50","50"
"55","320707.6648034646","320707.6648034646","320707.6648034646","55","55","55","1.2529008574006478e+27","1.2529008574006478e+27","1.2529008574006478e+27","55","55","55"
"60","320707.6648034646","320707.6648034646","320707.6648034646","60","60","60","1.2529008574006478e+27","1.2529008574006478e+27","1.2529008574006478e+27","60","60","60"
"65","320707.6648034646","320707.6648034646","320707.6648034646","65","65","65","1.2529008574006478e+27","1.2529008574006478e+27","1.2529008574006478e+27","65","65","65"
"70","320707.6648034646","320707.6648034646","320707.6648034646","70","70","70","1.2529008574006478e+27","1.2529008574006478e+27","1.2529008574006478e+27","70","70","70"
"75","320707.6648034646","320707.6648034646","320707.6648034646","75","75","75","1.2529008574006478e+27","1.2529008574006478e+27","1.2529008574006478e+27","75","75","75"
"80","320707.6648034646","320707.6648034646","320707.6648034646","80","80","80","1.2529008574006478e+27","1.2529008574006478e+27","1.2529008574006478e+27","80","80","80"
