"epoch","pong_stu - rollout/best_final_step_mse_per_epoch","pong_stu - rollout/best_final_step_mse_per_epoch__MIN","pong_stu - rollout/best_final_step_mse_per_epoch__MAX","pong_stu - _step","pong_stu - _step__MIN","pong_stu - _step__MAX","pong_baseline - rollout/best_final_step_mse_per_epoch","pong_baseline - rollout/best_final_step_mse_per_epoch__MIN","pong_baseline - rollout/best_final_step_mse_per_epoch__MAX","pong_baseline - _step","pong_baseline - _step__MIN","pong_baseline - _step__MAX"
"5","6.002606897587447e+25","6.002606897587447e+25","6.002606897587447e+25","5","5","5","1.1506335369337584e+27","1.1506335369337584e+27","1.1506335369337584e+27","5","5","5"
"10","2295656855790413","2295656855790413","2295656855790413","10","10","10","1.1506335369337584e+27","1.1506335369337584e+27","1.1506335369337584e+27","10","10","10"
"15","772280324190.8867","772280324190.8867","772280324190.8867","15","15","15","1.1506335369337584e+27","1.1506335369337584e+27","1.1506335369337584e+27","15","15","15"
"20","944306.7582765382","944306.7582765382","944306.7582765382","20","20","20","1.3651546615602387e+23","1.3651546615602387e+23","1.3651546615602387e+23","20","20","20"
"25","142002.5890925467","142002.5890925467","142002.5890925467","25","25","25","8.211850627185918e+21","8.211850627185918e+21","8.211850627185918e+21","25","25","25"
"30","135246.11703511697","135246.11703511697","135246.11703511697","30","30","30","1.072843016059569e+21","1.072843016059569e+21","1.072843016059569e+21","30","30","30"
"35","135246.11703511697","135246.11703511697","135246.11703511697","35","35","35","19180733110644820000","19180733110644820000","19180733110644820000","35","35","35"
"40","219.79461828304753","219.79461828304753","219.79461828304753","40","40","40","19180733110644820000","19180733110644820000","19180733110644820000","40","40","40"
"45","219.79461828304753","219.79461828304753","219.79461828304753","45","45","45","6368259959026164000","6368259959026164000","6368259959026164000","45","45","45"
"50","8.931937292538098","8.931937292538098","8.931937292538098","50","50","50","587412763752784500","587412763752784500","587412763752784500","50","50","50"
"55","0.8178364493290259","0.8178364493290259","0.8178364493290259","55","55","55","24107697673279424","24107697673279424","24107697673279424","55","55","55"
"60","0.8178364493290259","0.8178364493290259","0.8178364493290259","60","60","60","9560448190045330","9560448190045330","9560448190045330","60","60","60"
"65","0.8178364493290259","0.8178364493290259","0.8178364493290259","65","65","65","7350138896014505","7350138896014505","7350138896014505","65","65","65"
"70","0.8178364493290259","0.8178364493290259","0.8178364493290259","70","70","70","3383120602313855.5","3383120602313855.5","3383120602313855.5","70","70","70"
"75","0.8178364493290259","0.8178364493290259","0.8178364493290259","75","75","75","3383120602313855.5","3383120602313855.5","3383120602313855.5","75","75","75"
"80","0.8178364493290259","0.8178364493290259","0.8178364493290259","80","80","80","2957459937724220","2957459937724220","2957459937724220","80","80","80"
