game,model,seed_42,seed_123,seed_456,mean,std
pong,baseline,0.01970,0.01970,0.01970,0.01970,0.00130
pong,spatial_stu,0.00170,0.00170,0.00170,0.00170,0.00050
alien,baseline,0.14769,0.14760,0.14999,0.14843,0.00134
alien,spatial_stu,0.12732,0.11917,0.12112,0.12254,0.00425
seaquest,baseline,0.01365,0.01166,0.01101,0.01211,0.00138
seaquest,spatial_stu,0.00070,0.00066,0.00070,0.00069,0.00002
kungfumaster,baseline,0.00537,0.00371,0.00513,0.00474,0.00090
kungfumaster,spatial_stu,0.00146,0.00142,0.00141,0.00143,0.00003
mspacman,baseline,0.05331,0.06766,0.05240,0.05779,0.00854
mspacman,spatial_stu,0.04796,0.03582,0.03411,0.03930,0.00759
roadrunner,baseline,0.07117,0.04458,0.04898,0.05491,0.01433
roadrunner,spatial_stu,0.02599,0.02911,0.01517,0.02342,0.00730
