game,episodes,baseline,spatial_stu,attention,stu_advantage
pong,2,0.134908,0.109507,,1.23
pong,3,0.057844,0.025099,,2.30
pong,5,0.019700,0.001700,0.002900,11.59
pong,10,0.005200,0.001695,,3.07
pong,20,0.001231,0.000722,,1.70
pong,40,0.000205,0.000295,,-1.44
asterix,5,0.002968,0.001572,0.002931,1.89
asterix,10,0.001842,0.001576,,1.17
alien,5,0.147690,0.127317,0.006493,1.16
alien,10,0.028619,0.007860,0.004786,3.64
alien,20,0.010501,0.002406,0.004647,4.36
alien,40,0.004249,0.001512,0.004705,2.81
seaquest,5,0.013649,0.000695,0.002276,19.64
seaquest,10,0.002779,0.000517,0.002221,5.37
seaquest,20,0.001159,0.000648,0.002250,1.79
seaquest,40,0.000201,0.000378,0.000245,-1.88
kungfumaster,5,0.005373,0.001463,0.001825,3.67
kungfumaster,10,0.001273,0.001348,0.001827,-1.06
kungfumaster,20,0.000799,0.000838,0.001311,-1.05
kungfumaster,40,0.000525,0.000513,,1.02
mspacman,5,0.053313,0.047961,0.004872,1.11
mspacman,10,0.017529,0.001664,0.005080,10.53
mspacman,20,0.007305,0.000952,0.004922,7.67
mspacman,40,0.002479,0.000573,0.004263,4.33
roadrunner,5,0.071169,0.025989,0.004037,2.74
roadrunner,10,0.018849,0.002758,0.003973,6.83
roadrunner,20,0.003440,0.002309,0.004148,1.49
roadrunner,40,0.001847,0.001603,0.003932,1.15
