game,episodes,baseline,spatial_stu,stu_advantage
pong,2,0.406475,0.281276,1.44
pong,3,0.278922,0.143608,1.94
alien,5,0.482407,0.356312,1.35
alien,10,0.211158,0.160917,1.31
alien,20,0.120297,0.072914,1.65
alien,40,0.084961,0.067483,1.26
seaquest,5,0.145193,0.121171,1.20
seaquest,10,0.069177,0.149761,-2.16
seaquest,20,0.081566,0.056537,1.44
seaquest,40,0.014934,0.024375,-1.63
kungfumaster,5,0.072006,0.058392,1.23
kungfumaster,10,0.033979,0.054574,-1.61
kungfumaster,20,0.014884,0.029359,-1.97
kungfumaster,40,0.006360,0.013333,-2.10
mspacman,5,0.334609,0.226439,1.48
mspacman,10,0.126018,0.146039,-1.16
mspacman,20,0.091157,0.094761,-1.04
mspacman,40,0.041477,0.069218,-1.67
roadrunner,5,0.296220,0.172771,1.71
roadrunner,10,0.125279,0.059280,2.11
roadrunner,20,0.049587,0.034746,1.43
roadrunner,40,0.021853,0.013306,1.64
