game,episodes,baseline,spatial_stu,attention,stu_vs_attention
pong,5,0.0197,0.0017,0.0029,1.71
pong,10,0.0052,0.0017,0.0030,1.76
pong,20,0.0012,0.0007,0.0028,4.00
pong,40,0.0002,0.0003,0.0024,8.00
asterix,5,0.002968,0.001572,0.002931,1.86
asterix,10,0.001842,0.001576,0.002876,1.83
alien,5,0.147690,0.127317,0.006493,0.05
alien,10,0.028619,0.007860,0.004786,0.61
alien,20,0.010501,0.002406,0.004647,1.93
alien,40,0.004249,0.001512,0.004705,3.11
seaquest,5,0.013649,0.000695,0.002276,3.27
seaquest,10,0.002779,0.000517,0.002221,4.30
seaquest,20,0.001159,0.000648,0.002250,3.47
seaquest,40,0.000201,0.000378,0.000245,0.65
kungfumaster,5,0.005373,0.001463,0.001825,1.25
kungfumaster,10,0.001273,0.001348,0.001827,1.36
kungfumaster,20,0.000799,0.000838,0.001311,1.56
mspacman,5,0.053313,0.047961,0.004872,0.10
mspacman,10,0.017529,0.001664,0.005080,3.05
mspacman,20,0.007305,0.000952,0.004922,5.17
mspacman,40,0.002479,0.000573,0.004263,7.44
roadrunner,5,0.071169,0.025989,0.004037,0.16
roadrunner,10,0.018849,0.002758,0.003973,1.44
roadrunner,20,0.003440,0.002309,0.004148,1.80
roadrunner,40,0.001847,0.001603,0.003932,2.45
