environment,model,training,episodes,step50_mse,eval_mse,stu_advantage
cheetah-run,baseline,multistep,40,0.004958,0.004851,
cheetah-run,baseline,singlestep,40,0.004384,0.001773,
cheetah-run,stu_spectral,multistep,40,0.003177,0.002899,1.56
cheetah-run,stu_spectral,singlestep,40,0.006237,0.001740,-1.42
hopper-hop,baseline,multistep,40,0.004673,0.004880,
hopper-hop,baseline,singlestep,40,0.012017,0.002320,
hopper-hop,stu_spectral,multistep,40,0.003757,0.004083,1.24
hopper-hop,stu_spectral,singlestep,40,0.009467,0.002254,1.27
walker-walk,baseline,multistep,40,0.002617,0.002702,
walker-walk,baseline,multistep,5,0.002128,0.002110,
walker-walk,baseline,multistep,10,0.002660,0.002692,
walker-walk,baseline,multistep,20,0.002816,0.003062,
walker-walk,baseline,singlestep,40,0.005101,0.001678,
walker-walk,stu_spectral,multistep,40,0.002772,0.002946,-1.06
walker-walk,stu_spectral,multistep,5,0.002115,0.002060,1.01
walker-walk,stu_spectral,multistep,10,0.002424,0.002392,1.10
walker-walk,stu_spectral,multistep,20,0.002665,0.002573,1.06
walker-walk,stu_spectral,singlestep,40,0.004546,0.001497,1.12
