"rollout_step","mse","best_epoch"
"1","0.0013463777582755016","80"
"2","0.002619644869591339","80"
"3","0.0050650581380055435","80"
"4","0.009344552508622839","80"
"5","0.016984311133569133","80"
"6","0.0316527440496113","80"
"7","0.061134832622348395","80"
"8","0.12204013982976693","80"
"9","0.251753559956948","80"
"10","0.5348915054962255","80"
"11","1.166536031080329","80"
"12","2.609387843937114","80"
"13","5.976994600848875","80"
"14","13.748080506186554","80"
"15","32.213236373403795","80"
"16","76.584990108877","80"
"17","184.7741303374802","80"
"18","451.43015441341674","80"
"19","1115.33042298469","80"
"20","2813.4381175829017","80"
"21","7131.778548177083","80"
"22","17695.225571430594","80"
"23","42804.61279986837","80"
"24","103725.65563717164","80"
"25","255580.1997615206","80"
"26","640803.3642351676","80"
"27","1619176.3686113","80"
"28","4095781.2688802085","80"
"29","10545143.446478713","80"
"30","27562401.974003624","80"
"31","73043775.91838768","80"
"32","193633336.66231883","80"
"33","503375755.2396739","80"
"34","1293449531.1576087","80"
"35","3407822063.534058","80"
"36","9137578060.536232","80"
"37","24071894130.31594","80"
"38","62566840813.63478","80"
"39","158726422350.06378","80"
"40","395771889568.7884","80"
"41","974279688750.1449","80"
"42","2423307404037.009","80"
"43","6054547248933.287","80"
"44","15452580097366.818","80"
"45","38251467847907.805","80"
"46","93192134722037.61","80"
"47","221265154900309.34","80"
"48","518079992266182.1","80"
"49","1221791902880088.2","80"
"50","2957459937724220","80"
